step 00025 (2.73%) | loss: 2.922591 | lrm: 1.00 | dt: 3278.23ms | tok/sec: 39,982 | mfu: 0.00 | epoch: 1 | total time: 0.82m
step 00026 (2.83%) | loss: 2.863975 | lrm: 1.00 | dt: 3233.88ms | tok/sec: 40,530 | mfu: 0.00 | epoch: 1 | total time: 0.87m
step 00027 (2.94%) | loss: 2.735624 | lrm: 1.00 | dt: 3253.17ms | tok/sec: 40,290 | mfu: 0.00 | epoch: 1 | total time: 0.93m
step 00028 (3.04%) | loss: 2.670692 | lrm: 1.00 | dt: 3212.48ms | tok/sec: 40,800 | mfu: 0.00 | epoch: 1 | total time: 0.98m
step 00029 (3.15%) | loss: 2.617850 | lrm: 1.00 | dt: 3207.31ms | tok/sec: 40,866 | mfu: 0.00 | epoch: 1 | total time: 1.03m
step 00030 (3.26%) | loss: 2.549948 | lrm: 1.00 | dt: 3324.64ms | tok/sec: 39,424 | mfu: 0.00 | epoch: 1 | total time: 1.09m
step 00031 (3.36%) | loss: 2.489858 | lrm: 1.00 | dt: 3234.24ms | tok/sec: 40,526 | mfu: 0.00 | epoch: 1 | total time: 1.14m
step 00032 (3.47%) | loss: 2.459989 | lrm: 1.00 | dt: 3223.12ms | tok/sec: 40,666 | mfu: 0.00 | epoch: 1 | total time: 1.20m
step 00033 (3.58%) | loss: 2.411295 | lrm: 1.00 | dt: 3249.43ms | tok/sec: 40,336 | mfu: 0.00 | epoch: 1 | total time: 1.25m
step 00034 (3.69%) | loss: 2.407947 | lrm: 1.00 | dt: 3301.02ms | tok/sec: 39,706 | mfu: 0.00 | epoch: 1 | total time: 1.31m
step 00035 (3.79%) | loss: 2.424975 | lrm: 1.00 | dt: 3210.60ms | tok/sec: 40,824 | mfu: 0.00 | epoch: 1 | total time: 1.36m
step 00036 (3.90%) | loss: 2.409996 | lrm: 1.00 | dt: 3240.77ms | tok/sec: 40,444 | mfu: 0.00 | epoch: 1 | total time: 1.41m
step 00037 (4.01%) | loss: 2.408842 | lrm: 1.00 | dt: 3224.47ms | tok/sec: 40,649 | mfu: 0.00 | epoch: 1 | total time: 1.47m
step 00038 (4.12%) | loss: 2.361181 | lrm: 1.00 | dt: 3262.22ms | tok/sec: 40,178 | mfu: 0.00 | epoch: 1 | total time: 1.52m
step 00039 (4.23%) | loss: 2.377726 | lrm: 1.00 | dt: 3232.97ms | tok/sec: 40,542 | mfu: 0.00 | epoch: 1 | total time: 1.58m
step 00040 (4.34%) | loss: 2.341843 | lrm: 1.00 | dt: 3229.74ms | tok/sec: 40,582 | mfu: 0.00 | epoch: 1 | total time: 1.63m
step 00041 (4.45%) | loss: 2.289085 | lrm: 1.00 | dt: 3226.88ms | tok/sec: 40,618 | mfu: 0.00 | epoch: 1 | total time: 1.68m
step 00042 (4.56%) | loss: 2.274557 | lrm: 1.00 | dt: 3336.37ms | tok/sec: 39,285 | mfu: 0.00 | epoch: 1 | total time: 1.74m
step 00043 (4.67%) | loss: 2.235249 | lrm: 1.00 | dt: 3447.79ms | tok/sec: 38,016 | mfu: 0.00 | epoch: 1 | total time: 1.80m
step 00044 (4.78%) | loss: 2.209084 | lrm: 1.00 | dt: 3369.20ms | tok/sec: 38,902 | mfu: 0.00 | epoch: 1 | total time: 1.85m
step 00045 (4.88%) | loss: 2.140570 | lrm: 1.00 | dt: 3271.86ms | tok/sec: 40,060 | mfu: 0.00 | epoch: 1 | total time: 1.91m
step 00046 (4.99%) | loss: 2.114401 | lrm: 1.00 | dt: 3263.56ms | tok/sec: 40,162 | mfu: 0.00 | epoch: 1 | total time: 1.96m
step 00047 (5.09%) | loss: 2.124192 | lrm: 1.00 | dt: 3249.59ms | tok/sec: 40,334 | mfu: 0.00 | epoch: 1 | total time: 2.02m
step 00048 (5.20%) | loss: 2.118677 | lrm: 1.00 | dt: 3294.28ms | tok/sec: 39,787 | mfu: 0.00 | epoch: 1 | total time: 2.07m
